Name,Experience Description,Image 1,Category Name (from dim_city_category),City Value,Price per participant,Min number of participants,Max number of participants,Webflow Slug
"Wine & Spirits Classes and ""Somm"" Services","8 Different Wine & Spirits class topics (especially Wine & Cheese Pairing, Whiskey Basics, Wine Basics & Beyond, Craft Cocktail Mixology, 0% Non-Alcohol Mixology, Champagne, and others). Entertaining and thoroughly informative.",wine tasting.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/qiwZ_yLIP_Amp6oPx5n9xg/bbcGz8sY5XFNuCYKlAVrUJQ-7LHdAZ_bl1pKbC-JxXhvYXBe2OByLcC1Hg2UrbyP5_LKzTQpWFsygo31o5x_0-tjqjvm2kVUHzQgtUp5_804z_p8udcaVTUdHYSzmbAbs-cRxYZfjg7iGuNXmY5zngkX7taHL_GevUC88-aVZ8w/LHjH-f1OiSZrGijmb61FEA8gd_6lpJhIxZP-svgxPt4),Drink Crafting,New York,$100.00,6,100,wine-spirits-classes-and-somm-services
"On-site Customized Cheese Grazing Table, Two Wines, Staffing","Bloomy is an independent woman-owned cheese shop in Dobbs Ferry, in New York's beautiful lower Hudson Valley. Following a year as a Pop-Up in Residence at HudCo, Bloomy Cheese & Provisions opened its permanent location in November 2022. The shop features dozens of American and imported cut-to-order artisan cheeses, fine charcuterie and pantry items, handmade gifts from local artists, classes and workshops for cheese lovers, wine and beer service, catering, and a relentless commitment to the mission of Lactose & Tolerance.",71657427887__A9F918D4-471C-4F22-9A53-2FF1EFA05671.jpeg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/U0Jhd8q9PC6rqZylj0W9WQ/-9zv6dIJzZkCOqP6OWB0NId91-G3eXlVGzmcBngvedveC_IsWm8dVKvRlu4Vu6IYccKyifMTy33sunNypN85f2ic91CLCidgbB6bSW_kweNZ-HB6MKeqj6Okpg241_k9X9J7dGFHNcI-qWVN-IiG6KSTUa0z2Z1DyEE-JVjcUy6PPXNGv2po0Tp5kr6VKWEEZbW0QPIpPW6LmnbZaiqb-g/VKmdW9rboGxkg8mQpUoO4Pxeiqhlazh6urkIGTlbEgU),Add-ons,New York,$56.00,50,200,on-site-customized-cheese-grazing-table-two-wines-staffing
"Cheese Platters, Two Wines, Staffing","Bloomy is an independent woman-owned cheese shop in Dobbs Ferry, in New York's beautiful lower Hudson Valley. Following a year as a Pop-Up in Residence at HudCo, Bloomy Cheese & Provisions opened its permanent location in November 2022. The shop features dozens of American and imported cut-to-order artisan cheeses, fine charcuterie and pantry items, handmade gifts from local artists, classes and workshops for cheese lovers, wine and beer service, catering, and a relentless commitment to the mission of Lactose & Tolerance.",DSCF9789.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/XJTtbzqgGqcutFloHfk8ng/q5py8t0se4B82FznKxwR7BO81g6XsPXxzDUwE7gkHEqyb3UHJIsg4G0Y6OjsjgoIGUE0UAZbwxxRPitoN2EG_HNSEOqzjlEMPB7J1qJKvUYr8Ya1pQhd4CxlQYcT-GkTHxMoquhl59JEapOheyLjZQ/XIf5XyXrZrfHLrwTwZWcJfLrhsI8w-WryGPmVzpkmjI),Add-ons,New York,$39.00,20,200,cheese-platters-two-wines-staffing
Earring Making Workshop,"Craft leather earrings using leather shapes in many different colors. Express your creativity and style, and leave with wearable art. Leather remnants are used for a minimal waste approach.
 

 There is also the option to create additional small accessories such as leather key fobs and tassels.",IMG_3106.jpeg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/5seizfl1iFUgRMpJjH4h2Q/WuGLsSg3mJnRArh_5P64g7dY6WKVbTv8rNZExBNjqGv752E2zZH45MdElPD7v4beKJsvcmJHCCczILsztrYGoyjGKht-s5J1I5kC63KjU7XqHgD8u9gdFv0KEZ0Clwf1X9FhKdPqGlQj2PygwiDW4Q/UdHOQRqfxymXNMbSsFxEDKyMv1WS1TbZyyWypRm6xME),Arts and Crafts,New York,$50.00,4,20,earring-making-workshop
Cheese Platters and Staffing,"Bloomy is an independent woman-owned cheese shop in Dobbs Ferry, in New York's beautiful lower Hudson Valley. Following a year as a Pop-Up in Residence at HudCo, Bloomy Cheese & Provisions opened its permanent location in November 2022. The shop features dozens of American and imported cut-to-order artisan cheeses, fine charcuterie and pantry items, handmade gifts from local artists, classes and workshops for cheese lovers, wine and beer service, catering, and a relentless commitment to the mission of Lactose & Tolerance.",DSCF9915.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/hDe_6RhRn34TqnoOGrHKGA/P3giSq_mNWM8bAMp17MOiaDdBdQzhJKuhYNjYIBPwArfiBcmEQHMbnrYqAaCAMuwJDmCSGnBq1lvW62apXKrzl7CFGeU5IeyZm9ZsveGGlYQrxOpBSNNFByC9-6ndzFueI4_RVF0aTKxjA3A-idJcw/N0IXKrqgHc9le8AJxxtO_7WLZHKM497M3FY2SwvXIKE),Add-ons,New York,$16.00,20,200,cheese-platters-and-staffing-a56be
Charcuterie and Cheese,"Kured is a woman owned charcuterie shop located in Soho, serving high quality meat. Gilli, the owner, offers catering services for events throughout the city.",IMG-4642.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/U_OHb8knLbwWooXl0Riwtg/jrf6z2zf_TlLPQQHKKk5bV1EvvTb_wJ4sto2n6fo7WLx-n5V7d5eF9AuPA2-ZWd8XLTNjHZ6aAUXYoqXis-gNHrRrTB538hbPBI0UabmQN15B62ppQKzQSqxt536WhgIKm8H5-hFa-6l6jpqbM3Wvg/Mk0VStByRwD82NdFIaQVdt13sYeZ3Th6zvg3IKC6gkI),Add-ons,New York,$19.00,10,200,charcuterie-and-cheese
Glass Art Creations,Create a hand-made glass ornament—a perfect gift for the holidays.,Card 1.png (https://v5.airtableusercontent.com/v2/22/22/1699999200000/EvLhaBnENVfldW07J9GbCw/Ws2KUrHaTR2PEOmYKr_CY7RpXfEvHjiINCObmw5SW9kvN0ESKq5zsLm8orn1cuCEY_id5UGbnXVQFdMX0_emBWvOK7rngifOCXkuaBiGsrX0Sc_eeVlwUMp8JVu4FMPJWAFIB4tPeBWRG6KX1QPINg/ns3pXv0jwPUKIgxQKv6dGrW5ArVNc7HaNP9Wy8fDcdQ),Arts and Crafts,San Francisco,$90.00,5,50,glass-art-creations
Tea Ceremony,"Explore tea with our Tea Tasting and Ceremony Experience, hosted at your choice of location. Our tea masters will introduce you to exceptional teas and guide you in proper brewing techniques. This ceremony blends tradition and sensory exploration, making tea appreciation accessible to all. Discover the rich history and diverse flavors of tea in this intimate session.",Instagram posts (3).jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/hsORHhSWjhAmleYAeGPmyA/ttyENoME68zKbEGwYC1BCmVkdIWINZF-aubH7vIe0XozeXCo5OOBbFAwqWCmkDsMWZC5kw40KaA4ph-Y6gM0cjIP_p0NVSDXG5124Ex9fYTFxaMJG0vACO-3MMYtyi1kzMlAy-qswLUg78bdwo5UpXPkWBWZ49m025mn6q-HijM/z5iKTefWLF042gyFH5lsk5P4ILP24PsAMhNKaQd0npc),Drink Crafting,New York,$140.00,5,30,tea-ceremony-8b23c
Mix & Mingle: DIY Cocktails,"Ready for some cocktail magic? Join us for ""Mix & Mingle: DIY Cocktails."" Our cocktail pro will give you the lowdown on mixing epic drinks, and then it's your turn. With all ingredients provided, you'll whip up your own signature cocktail. It's a quick, fun way to learn something new and enjoy some great company. Cheers!",pexels-magda-ehlers-1189257.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/ftkkXJiw3GKcZqBELtSl8g/a9F1muasI6aKPI9EieVxwQznfPN_SAm_Q6yipaZ66HgYYMue7n1OLobfXqVYV2t50qUvXHBLWoKW8uBIW6e3kjGxJ_cbX0xT4PKek4o-HGmbQqVRX34twhVCKFNLzz-1-3K4I-ILw0_aCh2omh2U0bLCguGR4gEFUTFxynNsi5jumenuCBz3EGptwHwhuYZl/OFOI0LEQU6L4ZNkGUnbtdMt-BPBg3E1HquujYNHXCmw),Drink Crafting,New York,$150.00,5,60,mix-mingle-diy-cocktails-7fe7d
Ice Cream Pop-Up,"Whatever event you are planning, add a special vibe with customized cups of ice cream! You can take your pick from our wildly creative range of flavors. We'll deliver the ice cream in coolers so you can serve it throughout the day.",pexels-valeria-boltneva-684968.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/tBv23j9EsW-6GbTj2vqIJw/ReoXNPFd58fPuckmxUkFJTrAc5Dqv8LzpsGzL-Li-IsRTEuMLF47FtgXTdKaPlHpSdL50peIlJij1T0wVK1Cs3bCT1U6kJ4ECPVXdRwhTOlU2mo66du1f-vPyAFaPJjRJZRvcKpl_UBSuOOzohYOg89u-oKKqaL_thEYYnDiIEjDrwoFn7c7bdpLB4bepQPO/RY1ml8nZdvJfl77HeR_EcfaC4Iku2JOh2hVfS6-MMAQ),Wellness,San Francisco,$12.00,100,1000,ice-cream-pop-up
Color Lab: Dive into Dye Magic!,"Unleash your inner color scientist! Dive into the vibrant world of synthetic dyes, experiment with hues, and craft unique shades in our dynamic dye lab. Perfect for both beginners and dye enthusiasts!",fulldisplay.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/oDgJCYyagMO6YIqqBCQYJw/CfxH8HLADG95tzH90q3eC0jmLX8brx-bdkBGxdwa4QqyTu5Ajz2nZ9EcC9Y_QkKNKOi38F3HTf6HBvAy5N_ZbE8q-4W-oq_tMXMSrp9xEhY3veku4p1DNpYCIYYZ0lApKBlxDyWoTXyp4IXBZiMuQjE_QcEiSDNYmqTMsqkRlFM/tVZwQa568Mcu83TRTnwfhHxYC4SGtvXykk6QoNd8Q5Q),Arts and Crafts,New York,$90.00,5,30,synthetic-dyes-laboratory
Herbal Scrub Hub,"Dive into the world of natural skincare and craft your very own herbal body scrub! Mix, match, and blend aromatic herbs and essential oils for a personalized skin treat. Get ready to exfoliate, rejuvenate, and glow from head to toe! 🌿✨",herbal workshop.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/5b7OFvFTyseSWaJMYn1Msw/uzKBw5N95x1tOZba4sFWCDH55TJSZBblg9PpBrGFtkQYHRc2i9MDnDhZNn2rgFbm9vgSRYbSdLMC632JnKnvdMEuPz548ST3Q2LR_yLebieWPaVFYoEV5DlLGzUbPLa2xwnXwQOTtw4syAlnqqWVU_r7kabpNkFYLCm45mVEnGM/t6mXe5DQc9turNIQJJeCmB8hOGKwyCEZjzcvGXgPapI),Wellness,New York,$85.00,5,30,make-your-own-herbal-body-scrub
Make a Mooncake,"Embrace tradition and artistry in our hands-on mooncake workshop. Learn the ancient techniques of crafting these symbolic pastries, from the smooth outer layer to the rich, flavorful fillings. By the end, you'll have your very own mooncake, a token of harvest, reunion, and sweet memories.",f34a41a7a4456b3b0547ed271851405d--mid-autumn-festival-the-festival.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/q5XAgdYmrW_X2sAf_tbCpg/PC5TlWUmeipQUjBhjLm27F9jBK_sDvlgFP05Pgfpr2pvj9ABGw05S1Ult8AN_NeOIr0ZE_DDMLXe2d4neAl9LM309uXY8OmI4xXV3T6Rh629e0ooQG0D3L9mgwBgv4gV_BnijOyli4GQDyeoffPHlN64KwL5lkkSNQ3-Edm3D8Zc3lYWkCtWzkPFAbY2fu6qwuoROSTxBzg2RhAJf9MTY1Mkm-1jdje2RpBd2CHx74I/T-YK7Uu3yOpxk2tlx3FTaAj4nWLgKs1gVhpZF6KTJJs),Cooking and Baking,New York,$130.00,5,60,private-monocake-making-class
Tie Dye Workshop,"Dive into traditional tie dye techniques! Tie dye a shirt to take home and enjoy. We will go over multiple folding techniques, how to apply the dye, how fix the dye and laundry instructions. This class uses high quality dye that will not wash out. This workshop can be virtual or in person.",DSC00839.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/KJObqAlE_b794rELzL9QTA/WiOI-wbvAYMvxpCsK4lhepiFO37ZjDIfL2DssnJdsv8mUNUCGPvxzrWCZ_bfo7AavLL50v-nRZmDf7_7WRmuSs18Iv_DAehkqa332-9_8DwHoDLPJlzZgMZjwxY_QP5WJbKDcV6_6TGyZEGR1DYMfg/N7hC64H6VherU6mo2ts3y6hbP7CdUKSlWFD0Sw_oqDU),Arts and Crafts,New York,$90.00,5,100,tie-dye-workshop
Tie Dye Indigo Shibori Workshop,"Step into the world of traditional Japanese dyeing with this Shibori workshop. Learn the ancient art of folding, twisting, and binding fabric, then immerse it in vibrant indigo for mesmerizing patterns. Walk away with a one-of-a-kind textile creation, rich in history and beauty.",DSC00811co.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/CPqfzJYj59v2gQkWOti5Sw/spM3dRVsgjDJSjFbnCGK7e6lfzDyCKyIxOhkvbwAktto11-aZ3kwKGC9U6YUanCIF9xah6gKNfF09EsVeem1hmheDJdPX1E-RGmRBlX54btWTPvKmdlVCCXJAQjWVp3-lHO4D4SmXiLl3rkf3WWAyg/dyNh4y3OjZhcD-GxubYm2KauqZ0X5N2wkYLxRBZGrZ0),Arts and Crafts,New York,$90.00,5,20,tie-dye-indigo-shibori-workshop
Make your own pie candle,"Dive into the art of candle-making by crafting a unique pie-scented candle. Combine waxes, fragrances, and colors to create a lifelike, aromatic pie candle that not only lights up your space but fills it with a delectable aroma. Perfect for dessert lovers and DIY enthusiasts!",20220624_222008.png (https://v5.airtableusercontent.com/v2/22/22/1699999200000/4NE2tux5kkVJNqJc0w63Wg/NBaN04rm5XrH7r5EoijZvwoYEcchF4c89vJpzhVz8pmf5TgZb6CT_GxhJJmX3ntQTG2nUGl4dy_JWwi41Rmg7oMKMwbAxjEWfNUEaqij3RLN1AELVENe9-mNH6KBon4Vswh2XYxJYRLD6n9Ss1n53mcbi0fcdZXr3-P1basZ620/sq8OaSypKt67qhoCXQWW0BplpRvVNrrau_7sO6GyHLA),Arts and Crafts,New York,$80.00,5,12,make-your-own-pie-candle
Hands Washing Class for Kids,"Our soap is very interactive, we will have bowls for kids to wash their hands with SoaPen and stencils to help create a fun drawing.",277044977_858783995518319_7025695617659209567_n.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/Ok0xQCY2-OabOnsLpM9WtQ/woSObj7IwPwOaipzQkwLNYYgTgnUevpcwuZnQO2QmnErJtgWvAbxIUS2G_rgJqHR5JCBbelcT9k0rub4Q2-iig2X0wqAhYBwSpL--_8h9FPdRzVg1AHvq5Wa-U0IHueobsH7UB4puyD9Iom74K-Fl7AUnWFe6yvRUmUdqygrU1hu-FT5EcrFfmUd7bnH0Dxibdj2LRSyympHKV0GLq-6xQ/-bZPnwzEGjpejbVByA8UrUo84qAR9KChIhbJnCNrmSA),Fun Skills,New York,$50.00,5,100,hands-washing-class-for-kids
Vinyasa Yoga Class,"Flow through dynamic sequences, connecting breath with movement. Enhance flexibility, strength, and inner calm in this rejuvenating Vinyasa session. Perfect for all levels, from beginners to seasoned yogis.",nettie.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/PCMEw2D2Pbh6VA1O2sElYQ/GAB0SajgH3QoRz60N3zBXln1TgYtTGUaj1bNlxtuI3Gf9vpV_zUetwgagXH3Rbg0GUNeclEpyDa_lF55QDKGIfjlX0BPqfd8596ReoO-77oDtD85YlqfDd-rdEyHrAKSuSkJ92S8aXT_bSscYB2i_g/Iex5SdSYdEihBww-VBmoHjU1khCkgNt970JjEkwTNWs),Wellness,New York,$80.00,5,20,vinyasa-yoga-class
Letter writing workshop,"We’ll use this time to slow down, reflect, and write letters to ourselves/our loved ones. Option to have writing themes like letters of gratitude, letters to elders at a senior center, or letters to our past/future selves. Writing tools will be provided. All you need to do is come relaxed and ready to celebrate the power of a handwritten letter because small gestures can make the biggest difference.",IMG_0633.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/1_RZ9jGyiZvRctftYog16g/31BbKw1TLNYy8Ju6vPjJKv7iwvAD7Kr0_Ii0xgZuvOjrdCaDL1fjpK_sd38oRr8nX6ESnq-a52jUo4EkzTXDCjREbXZQ_TN_csrb7sU2iIyEZPecZg2ly7BIBcMPybpIm_FVjnfk9hdqyAVb3aG5pg/IKgSceFw_4U1sXT94ocGIAXfA42Vm4qZAAEx7mIgkVU),Wellness,New York,$55.00,5,100,letter-writing-workshop
Guided Meditation Sessions Combined with Aromatherapy,"Jasmine is a meditation instructor. She offers classes called Inhale, Be Well, which are short guided meditation classes combined with aromatherapy. Participants will learn how to connect with their bodies while enjoying the therapeutic effects of essential oils.",group_meditation.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/TZpKYe2RkI4XDj4ZW86psA/C7pd_IDBKTqMJJbYRcWcHh6JJX8ISj2kDhP3-M1UbUGHo4EdYMGmFuUO-Jx35Uqpr3lhscWZufClJsh8FfHtQ4MaA_Xtp0SBs6Fx_XzSON8OkL0WfYDpSPiSR4JrXIPXkBzZ_g7cRHfmPdSnjAXaDAgBKVXECJAS0HnolCVthR8/GS4Gd43dkaorT6qFov5KNFp9fEuDQ1w1iLIq5vrP_lY),Wellness,New York,$70.00,5,60,guided-meditation-sessions-combined-with-aromatherapy
Mushroom Munch Fest,"Indulge in the unique taste of Crunchy Mushroom Chips. Perfectly seasoned and crispy, they're an exotic twist on a classic snack. Available for sampling and catering, making any event a gourmet affair.",IMG_8722.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/PxjPRPVFnSRL5xJHorHr0Q/UVv2KoLa-ZppOWKM3bHz9m6yICw7GGTV28Sq73vN0vYAYqjgALlLoWh3HTJidm9A-pBc9brJ2rAbkAdL_52L0WNb3Nhx2K_uKTt4zZ9-lq0ptGL3-Evr5TXPc8UJcd-6Ais95OcYiQ7gvpc_lU36xQ/idBmF3pZc2gblh4GsWttv9OUJfMTFyiz5CrbLyuLlHc),Wellness,New York,$30.00,50,1000,sampling-catering-crunchy-mushroom-chips
Coffee Tasting Pop-Up,"Our tasting booth explores four contrasting coffees and helps guests to appreciate differences such as sweetness, acidity, body, and flavor notes.",city boy coffee.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/jhHPK6KVTpgTpyQKxFO03A/h4vYLwlDSYIEIm5fulCQcpUTRPVBpZG81VgDN1pJ0koUo7KPJ-RJZspsgvRR0lIk_seeckqbwu294LP55YyZ5sGxHKOI3S9GwVoWOhFe3YQMAJXdIyt8RoijVGkSd85gsqvAgDj0Dy9j_q8IFAdvhoDcbcIiiT9nnObwjdX4oYA/vbcphcFTHAtv_zjzu7jY7qwYyW0PXGL4q8wEWrpyqnI),Drink Crafting,New York,$19.00,20,250,coffee-tasting-booth
